年	月	日	時	分	GoogleLat	GoogleLng	死	受傷	2-30
113	1	2	15	12	24.9982475	121.5791005	0	2	0
113	1	2	15	12	24.9982475	121.5791005	0	2	0
113	1	2	15	12	24.9982475	121.5791005	0	2	0
113	1	2	15	22	25.05647008	121.5832652	0	2	0
113	1	2	15	22	25.05647008	121.5832652	0	2	0
113	1	2	15	35	25.13615165	121.5496609	0	1	0
113	1	2	15	35	25.13615165	121.5496609	0	1	0
113	1	2	15	44	25.0375772	121.5064924	0	2	0
113	1	2	15	44	25.0375772	121.5064924	0	2	0
113	1	2	15	44	25.0375772	121.5064924	0	2	0
113	1	2	15	46	25.1259984	121.5016157	0	2	0
113	1	2	15	46	25.1259984	121.5016157	0	2	0
113	1	2	16	8	25.0292882	121.5115288	0	2	0
113	1	2	16	8	25.0292882	121.5115288	0	2	0
113	1	2	16	20	25.0477348	121.5237227	0	1	0
113	1	2	16	20	25.0477348	121.5237227	0	1	0
113	1	2	16	20	25.0477348	121.5237227	0	1	0
113	1	2	16	20	25.06110396	121.5784949	0	1	0
113	1	2	16	20	25.06110396	121.5784949	0	1	0
113	1	2	16	20	25.06110396	121.5784949	0	1	0
113	1	2	16	25	25.0969693	121.5329417	0	1	0
113	1	2	16	25	25.0969693	121.5329417	0	1	0
113	1	2	16	29	25.05145007	121.5703343	0	1	0
113	1	2	16	29	25.05145007	121.5703343	0	1	0
113	1	2	16	30	25.0355692	121.5789811	0	1	0
113	1	2	16	30	25.0355692	121.5789811	0	1	0
113	1	2	16	58	25.0195296	121.5469452	0	1	0
113	1	2	16	58	25.0195296	121.5469452	0	1	0
113	1	2	17	6	25.0520268	121.5300928	0	1	0
113	1	2	17	6	25.0520268	121.5300928	0	1	0
113	1	2	17	21	24.988649	121.5574017	0	2	0
113	1	2	17	21	24.988649	121.5574017	0	2	0
113	1	2	17	21	24.988649	121.5574017	0	2	0
113	1	2	17	24	25.0505848	121.508197	0	1	0
113	1	2	17	24	25.0505848	121.508197	0	1	0
113	1	2	17	46	25.12150511	121.4946249	0	2	0
113	1	2	17	46	25.12150511	121.4946249	0	2	0
113	1	2	17	46	25.12150511	121.4946249	0	2	0
113	1	2	17	50	25.0506449	121.5959286	0	1	0
113	1	2	17	50	25.0506449	121.5959286	0	1	0
113	1	2	17	50	25.0506449	121.5959286	0	1	0
113	1	2	18	0	25.0272013	121.5164599	0	2	0
113	1	2	18	0	25.0272013	121.5164599	0	2	0
113	1	2	18	0	25.0272013	121.5164599	0	2	0
113	1	2	18	13	25.0358077	121.4945513	0	1	0
113	1	2	18	13	25.0358077	121.4945513	0	1	0
113	1	2	18	13	25.0358077	121.4945513	0	1	0
113	1	2	18	17	25.0482424	121.5085495	0	1	0
113	1	2	18	17	25.0482424	121.5085495	0	1	0
113	1	2	18	20	25.0417126	121.5441229	0	1	0
113	1	2	18	20	25.0417126	121.5441229	0	1	0
113	1	2	18	35	25.0514755	121.564242	0	1	0
113	1	2	18	35	25.0514755	121.564242	0	1	0
113	1	2	18	35	25.0514755	121.564242	0	1	0
113	1	2	18	46	25.0430059	121.505159	0	1	0
113	1	2	18	46	25.0430059	121.505159	0	1	0
113	1	2	18	46	25.07345909	121.5785016	0	1	0
113	1	2	18	46	25.07345909	121.5785016	0	1	0
113	1	2	19	0	25.0535851	121.5161045	0	1	0
113	1	2	19	0	25.0535851	121.5161045	0	1	0
113	1	2	19	7	25.0291157	121.5573315	0	1	0
113	1	2	19	7	25.0291157	121.5573315	0	1	0
113	1	2	19	30	25.09428005	121.5213137	0	1	0
113	1	2	19	30	25.09428005	121.5213137	0	1	0
113	1	2	19	44	25.0538164	121.5140971	0	1	0
113	1	2	19	44	25.0538164	121.5140971	0	1	0
113	1	2	20	20	25.06309477	121.5316861	0	1	0
113	1	2	20	20	25.06309477	121.5316861	0	1	0
113	1	2	21	7	25.1188497	121.5189423	0	1	0
113	1	2	21	7	25.1188497	121.5189423	0	1	0
113	1	2	21	10	25.05937631	121.589346	0	2	0
113	1	2	21	10	25.05937631	121.589346	0	2	0
113	1	2	23	58	25.0267895	121.5071395	0	1	0
113	1	2	23	58	25.0267895	121.5071395	0	1	0
113	1	3	6	27	25.0686873	121.5109737	0	1	0
113	1	3	6	27	25.0686873	121.5109737	0	1	0
113	1	3	6	52	25.03554395	121.5574712	0	2	0
113	1	3	6	52	25.03554395	121.5574712	0	2	0
113	1	3	7	0	25.06731498	121.617273	0	1	0
113	1	3	7	0	25.06731498	121.617273	0	1	0
113	1	3	7	4	25.0309907	121.4912628	0	1	0
113	1	3	7	4	25.0309907	121.4912628	0	1	0
113	1	3	7	11	25.0483396	121.51866	0	3	0
113	1	3	7	11	25.0483396	121.51866	0	3	0
113	1	3	7	11	25.0483396	121.51866	0	3	0
113	1	3	7	30	25.0630016	121.5185036	0	1	0
113	1	3	7	30	25.0630016	121.5185036	0	1	0
113	1	3	8	5	25.02406	121.5698758	0	1	0
113	1	3	8	5	25.02406	121.5698758	0	1	0
113	1	3	8	13	25.0552377	121.6164902	0	1	0
113	1	3	8	13	25.0552377	121.6164902	0	1	0
113	1	3	8	15	25.0359323	121.5150352	0	1	0
113	1	3	8	15	25.0359323	121.5150352	0	1	0
113	1	3	8	48	25.0983054	121.5377828	0	1	0
113	1	3	8	48	25.0983054	121.5377828	0	1	0
113	1	3	8	48	25.0983054	121.5377828	0	1	0
113	1	3	8	49	25.0684637	121.5232298	0	2	0
113	1	3	8	49	25.0684637	121.5232298	0	2	0
113	1	3	8	49	25.0684637	121.5232298	0	2	0
113	1	3	8	49	25.07477897	121.5775514	0	2	0
113	1	3	8	49	25.07477897	121.5775514	0	2	0
113	1	3	8	49	25.07477897	121.5775514	0	2	0
113	1	3	9	6	25.12341867	121.4651398	0	1	0
113	1	3	9	6	25.12341867	121.4651398	0	1	0
113	1	3	9	38	25.0193087	121.529498	0	1	0
113	1	3	9	38	25.0193087	121.529498	0	1	0
113	1	3	9	46	25.0211761	121.5001389	0	1	0
113	1	3	9	46	25.0211761	121.5001389	0	1	0
113	1	3	9	46	25.0211761	121.5001389	0	1	0
113	1	3	9	58	25.0329793	121.5758955	0	1	0
113	1	3	9	58	25.0329793	121.5758955	0	1	0
113	1	3	10	9	25.03912542	121.5632716	0	1	0
113	1	3	10	9	25.03912542	121.5632716	0	1	0
113	1	3	10	10	25.1370135	121.5039871	0	1	0
113	1	3	10	10	25.1370135	121.5039871	0	1	0
113	1	3	10	35	25.08609313	121.5516552	0	1	0
113	1	3	10	35	25.08609313	121.5516552	0	1	0
113	1	3	10	35	25.08609313	121.5516552	0	1	0
113	1	3	10	37	25.0849172	121.5252548	0	1	0
113	1	3	10	37	25.0849172	121.5252548	0	1	0
113	1	3	10	40	25.03855422	121.5684556	0	1	0
113	1	3	10	40	25.03855422	121.5684556	0	1	0
113	1	3	11	11	25.0339616	121.5667026	0	1	0
113	1	3	11	11	25.0339616	121.5667026	0	1	0
113	1	3	11	20	25.0449214	121.5471459	0	1	0
113	1	3	11	20	25.0449214	121.5471459	0	1	0
113	1	3	12	6	25.0254269	121.49115	0	2	0
113	1	3	12	6	25.0254269	121.49115	0	2	0
113	1	3	12	20	25.0275215	121.512901	0	1	0
113	1	3	12	20	25.0275215	121.512901	0	1	0
113	1	3	12	21	25.0854808	121.5654995	0	1	0
113	1	3	12	21	25.0854808	121.5654995	0	1	0
113	1	3	12	33	25.0273371	121.4933392	0	2	0
113	1	3	12	33	25.0273371	121.4933392	0	2	0
113	1	3	12	51	25.06459207	121.5930104	0	1	0
113	1	3	12	51	25.06459207	121.5930104	0	1	0
113	1	3	13	0	24.9917296	121.5710876	0	1	0
113	1	3	13	0	24.9917296	121.5710876	0	1	0
113	1	3	13	18	25.0615791	121.5176956	0	2	0
113	1	3	13	18	25.0615791	121.5176956	0	2	0
113	1	3	13	29	25.03943588	121.5217278	0	2	0
113	1	3	13	29	25.03943588	121.5217278	0	2	0
113	1	3	13	35	25.0255822	121.5540464	0	2	0
113	1	3	13	35	25.0255822	121.5540464	0	2	0
113	1	3	13	45	25.03492666	121.5106478	0	1	0
113	1	3	13	45	25.03492666	121.5106478	0	1	0
113	1	3	13	45	25.03492666	121.5106478	0	1	0
113	1	3	13	50	25.0351457	121.5451303	0	2	0
113	1	3	13	50	25.0351457	121.5451303	0	2	0
113	1	3	14	59	25.0272839	121.5206376	0	1	0
113	1	3	14	59	25.0272839	121.5206376	0	1	0
113	1	3	15	51	25.05852313	121.5582855	0	1	0
113	1	3	15	51	25.05852313	121.5582855	0	1	0
113	1	3	16	1	24.9960605	121.5600244	0	2	0
113	1	3	16	1	24.9960605	121.5600244	0	2	0
113	1	3	16	5	25.0329639	121.5580709	0	2	0
113	1	3	16	5	25.0329639	121.5580709	0	2	0
113	1	3	16	5	25.0329639	121.5580709	0	2	0
113	1	3	16	13	25.0159951	121.5426085	0	2	0
113	1	3	16	13	25.0159951	121.5426085	0	2	0
113	1	3	16	13	25.0159951	121.5426085	0	2	0
113	1	3	16	20	24.98430432	121.563636	0	1	0
113	1	3	16	20	24.98430432	121.563636	0	1	0
113	1	3	16	40	25.04052442	121.585465	0	1	0
113	1	3	16	40	25.04052442	121.585465	0	1	0
113	1	3	17	8	25.0505824	121.5081966	0	1	0
113	1	3	17	8	25.0505824	121.5081966	0	1	0
113	1	3	17	15	25.12141441	121.5267366	0	1	0
113	1	3	17	15	25.12141441	121.5267366	0	1	0
113	1	3	17	17	25.045747	121.5064632	0	1	0
113	1	3	17	17	25.045747	121.5064632	0	1	0
113	1	3	17	27	25.0251341	121.5533393	0	2	0
113	1	3	17	27	25.0251341	121.5533393	0	2	0
113	1	3	17	27	25.0251341	121.5533393	0	2	0
113	1	3	17	27	25.0251341	121.5533393	0	2	0
113	1	3	17	28	25.0395025	121.5615941	0	1	0
113	1	3	17	28	25.0395025	121.5615941	0	1	0
113	1	3	17	32	25.0400907	121.5718827	0	1	0
113	1	3	17	32	25.0400907	121.5718827	0	1	0
113	1	3	17	36	25.08877729	121.5214672	0	1	0
113	1	3	17	36	25.08877729	121.5214672	0	1	0
113	1	3	17	49	25.0113234	121.5370172	0	1	0
113	1	3	17	49	25.0113234	121.5370172	0	1	0
113	1	3	17	50	25.0549801	121.5254771	0	2	0
113	1	3	17	50	25.0549801	121.5254771	0	2	0
113	1	3	18	4	25.0601831	121.5136077	0	1	0
113	1	3	18	4	25.0601831	121.5136077	0	1	0
113	1	3	18	20	25.0882782	121.5220069	0	1	0
113	1	3	18	20	25.0882782	121.5220069	0	1	0
113	1	3	18	26	25.0778568	121.5290083	0	1	0
113	1	3	18	26	25.0778568	121.5290083	0	1	0
113	1	3	18	32	25.03858408	121.5676274	0	1	0
113	1	3	18	32	25.03858408	121.5676274	0	1	0
113	1	3	18	37	25.0652407	121.5678792	0	1	0
113	1	3	18	37	25.0652407	121.5678792	0	1	0
113	1	3	18	40	25.0613514	121.5256002	0	2	0
113	1	3	18	40	25.0613514	121.5256002	0	2	0
113	1	3	18	40	25.0613514	121.5256002	0	2	0
113	1	3	18	40	25.06609309	121.5758317	0	2	0
113	1	3	18	40	25.06609309	121.5758317	0	2	0
113	1	3	18	40	25.06609309	121.5758317	0	2	0
113	1	3	18	50	25.0375813	121.5063496	0	2	0
113	1	3	18	50	25.0375813	121.5063496	0	2	0
113	1	3	18	50	25.0375813	121.5063496	0	2	0
113	1	3	18	50	25.0375813	121.5063496	0	2	0
113	1	3	19	8	25.0540491	121.513654	0	1	0
113	1	3	19	8	25.0540491	121.513654	0	1	0
113	1	3	19	16	25.0647389	121.533659	0	3	0
113	1	3	19	16	25.0647389	121.533659	0	3	0
113	1	3	19	16	25.0647389	121.533659	0	3	0
113	1	3	20	26	25.1095982	121.533664	0	1	0
113	1	3	20	26	25.1095982	121.533664	0	1	0
113	1	3	20	30	25.11071282	121.5305606	0	2	0
113	1	3	20	30	25.11071282	121.5305606	0	2	0
113	1	3	20	30	25.11071282	121.5305606	0	2	0
113	1	3	20	36	25.06848519	121.5204279	0	1	0
113	1	3	20	36	25.06848519	121.5204279	0	1	0
113	1	3	20	50	25.04961522	121.5937081	0	1	0
113	1	3	20	50	25.04961522	121.5937081	0	1	0
113	1	3	21	24	25.0482055	121.5658164	0	1	0
113	1	3	21	24	25.0482055	121.5658164	0	1	0
113	1	3	21	33	25.0714875	121.5300741	0	1	0
113	1	3	21	33	25.0714875	121.5300741	0	1	0
113	1	3	22	20	25.06785849	121.5908223	0	1	0
113	1	3	22	20	25.06785849	121.5908223	0	1	0
113	1	3	22	42	25.0522166	121.5551379	0	2	0
113	1	3	22	42	25.0522166	121.5551379	0	2	0
113	1	3	23	10	25.0446571	121.5363408	0	2	0
113	1	3	23	10	25.0446571	121.5363408	0	2	0
113	1	4	0	0	25.06180447	121.5392868	0	1	0
113	1	4	0	0	25.06180447	121.5392868	0	1	0
113	1	4	2	10	25.06364871	121.6104268	0	1	0
113	1	4	2	10	25.06364871	121.6104268	0	1	0
113	1	4	2	14	25.0954295	121.5245349	0	1	0
113	1	4	2	14	25.0954295	121.5245349	0	1	0
113	1	4	7	0	25.0381193	121.583734	0	2	0
113	1	4	7	0	25.0381193	121.583734	0	2	0
113	1	4	7	1	25.021087	121.5487307	0	1	0
113	1	4	7	1	25.021087	121.5487307	0	1	0
113	1	4	7	36	24.9997669	121.575626	0	1	0
113	1	4	7	36	24.9997669	121.575626	0	1	0
113	1	4	7	46	25.03395107	121.5062273	0	1	0
113	1	4	7	46	25.03395107	121.5062273	0	1	0
113	1	4	7	54	25.0520866	121.5626255	0	1	0
113	1	4	7	54	25.0520866	121.5626255	0	1	0
113	1	4	7	54	25.0520866	121.5626255	0	1	0
113	1	4	7	57	25.0452088	121.5578461	0	1	0
113	1	4	7	57	25.0452088	121.5578461	0	1	0
113	1	4	8	20	25.05432548	121.537107	0	1	0
113	1	4	8	20	25.05432548	121.537107	0	1	0
113	1	4	8	20	25.02801	121.5683096	0	1	0
113	1	4	8	20	25.02801	121.5683096	0	1	0
113	1	4	8	30	25.0772967	121.521001	0	2	0
113	1	4	8	30	25.0772967	121.521001	0	2	0
113	1	4	8	30	25.03594108	121.5108677	0	3	0
113	1	4	8	30	25.03594108	121.5108677	0	3	0
113	1	4	8	30	25.03594108	121.5108677	0	3	0
113	1	4	8	30	25.03432142	121.507974	0	1	0
113	1	4	8	30	25.03432142	121.507974	0	1	0
113	1	4	8	30	25.07500543	121.6100388	0	1	0
113	1	4	8	30	25.07500543	121.6100388	0	1	0
113	1	4	8	44	25.07943254	121.5440841	0	1	0
113	1	4	8	44	25.07943254	121.5440841	0	1	0
113	1	4	8	50	25.05892662	121.5803233	0	2	0
113	1	4	8	50	25.05892662	121.5803233	0	2	0
113	1	4	9	3	24.9917784	121.5710803	0	1	0
113	1	4	9	3	24.9917784	121.5710803	0	1	0
113	1	4	9	8	25.04683548	121.530798	0	1	0
113	1	4	9	8	25.04683548	121.530798	0	1	0
113	1	4	9	15	25.1071143	121.5118596	0	1	0
113	1	4	9	15	25.1071143	121.5118596	0	1	0
113	1	4	9	41	24.99949657	121.5484892	0	1	0
113	1	4	9	41	24.99949657	121.5484892	0	1	0
113	1	4	10	18	25.0303272	121.5059605	0	1	0
113	1	4	10	18	25.0303272	121.5059605	0	1	0
113	1	4	10	37	25.12483396	121.4670368	0	1	0
113	1	4	10	37	25.12483396	121.4670368	0	1	0
113	1	4	10	52	25.0520235	121.5104337	0	1	0
